run,episode_id,step,pre_goal_distance_m,post_goal_distance_m,retry_count,final_parse_error,attempts_json,logged_v2_verdict,v2_reason,v2_blockers_json,relation_required,relation_satisfied,relation_missing_json,relation_unresolved,route_index,route_total,current_action,missing_evidence_json,route_complete,terminal_confirmed,goal_complete,target_direction,local_surface_depth_m,distance_satisfied,route_maturity_satisfied,instance_key,instance_streak,instance_reason,stop_outcome,terminal_recheck_hold,terminal_recheck_used,recheck_original_distance_m,action_code,candidate_id,command_distance_m,command_angle_rad,actual_displacement_m,prior_override,prior_gap,source_nav,evidence_line,command_line
instruction_two_stage_ep10_20260908_132650,244,1,,6.1225128173828125,,,null,uncertain,"Visual evidence has an allow candidate, but conservative STOP allow rules blocked it: before_min_steps:1<3, generic_final_terms:doorway.","[""before_min_steps:1<3"", ""generic_final_terms:doorway""]",,,null,,0,3,Go through the door,"[""verifier_not_implemented:cross""]",False,False,False,1,1.9564368426799774,True,True,244:terminal-instance:1,1,new_spatial_track,,,,,4,3,2.5,1.0995569229125977,0.9302688724418695,True,0.21084391433715208,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,34,55
instruction_two_stage_ep10_20260908_132650,244,2,6.1225128173828125,5.818793773651123,,,null,reject,"Visual evidence does not support STOP: final_target_visible=False, arrival_evidence=False, missing=[]",[],,,null,,0,3,Go through the door,"[""verifier_not_implemented:cross""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,10,1.0,4.921828269958496,1.003039060313887,True,0.15193263033376245,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,93,113
instruction_two_stage_ep10_20260908_132650,244,3,5.818793773651123,4.319491386413574,,,null,uncertain,"Visual evidence has an allow candidate, but conservative STOP allow rules blocked it: generic_final_terms:doorway.","[""generic_final_terms:doorway""]",,,null,,0,3,Go through the door,"[""verifier_not_implemented:cross""]",False,False,False,3,0.9545936435461045,True,True,244:terminal-instance:2,1,new_spatial_track,,,,,4,4,1.5,1.675516128540039,1.5000006014723726,True,0.03526690955671036,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,151,171
instruction_two_stage_ep10_20260908_132650,244,4,4.319491386413574,2.93601131439209,,JSONDecodeError: Expecting value: line 1 column 1 (char 0),null,uncertain,Visual evidence is insufficient to verify the STOP proposal.,[],,,null,,0,3,Go through the door,"[""verifier_not_implemented:cross""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,1,1.5,0.31415891647338867,1.478042902785008,False,,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,209,229
instruction_two_stage_ep10_20260908_132650,244,5,2.93601131439209,2.395702362060547,,JSONDecodeError: Expecting value: line 1 column 1 (char 0),null,uncertain,Visual evidence is insufficient to verify the STOP proposal.,[],,,null,,0,3,Go through the door,"[""verifier_not_implemented:cross""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,0,1.5,5.864306449890137,1.4999998395864529,True,0.11753065927257023,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,267,287
instruction_two_stage_ep10_20260908_132650,244,6,2.395702362060547,2.3251216411590576,,,null,uncertain,"Visual evidence has an allow candidate, but conservative STOP allow rules blocked it: generic_final_terms:doorway.","[""generic_final_terms:doorway""]",,,null,,0,3,Go through the door,"[""verifier_not_implemented:cross""]",False,False,False,0,1.1008161902427676,True,True,244:terminal-instance:3,1,new_spatial_track,,,,,4,5,1.75,2.6179935932159424,1.749999450962073,True,0.07322205318778816,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,325,345
instruction_two_stage_ep10_20260908_132650,244,7,2.3251216411590576,2.14394474029541,,,null,reject,"Visual evidence does not support STOP: final_target_visible=True, arrival_evidence=False, missing=[]",[],,,null,,0,3,Go through the door,"[""verifier_not_implemented:cross""]",False,False,False,6,2.1245155334472656,True,True,,0,insufficient_instance_geometry,,,,,4,7,1.75,3.2986721992492676,1.749999841222504,True,0.003137216232080242,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,383,404
instruction_two_stage_ep10_20260908_132650,244,8,2.14394474029541,1.9503529071807861,,,null,uncertain,"Visual evidence has an allow candidate, but conservative STOP allow rules blocked it: generic_final_terms:doorway.","[""generic_final_terms:doorway""]",,,null,,0,3,Go through the door,"[""verifier_not_implemented:cross""]",False,False,False,0,0.9959245473146439,True,True,244:terminal-instance:4,1,new_spatial_track,,,,,4,6,1.75,2.879793167114258,1.74999952857192,True,0.2309874283057209,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,441,461
instruction_two_stage_ep10_20260908_132650,244,9,1.9503529071807861,3.2385942935943604,,,null,reject,"Visual evidence does not support STOP: final_target_visible=True, arrival_evidence=False, missing=[]",[],,,null,,0,3,Go through the door,"[""verifier_not_implemented:cross""]",False,False,False,6,2.1423388719558716,True,True,,0,insufficient_instance_geometry,,,,,4,4,1.5,1.8325953483581543,1.4999995510912016,False,,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,498,517
instruction_two_stage_ep10_20260908_132650,244,10,3.2385942935943604,1.782256841659546,,,null,uncertain,"Visual evidence has an allow candidate, but conservative STOP allow rules blocked it: generic_final_terms:doorway.","[""generic_final_terms:doorway""]",,,null,,0,3,Go through the door,"[""verifier_not_implemented:cross""]",False,False,False,3,2.196337729692459,True,True,244:terminal-instance:5,1,new_spatial_track,,,,,4,5,1.75,2.4085543155670166,1.7499994514686528,True,0.03733951503421795,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,554,575
