=== E1 距离分桶校准 (stop_verification 决策点) ===
bucket(m)     N  P(visible)  P(arr_evid)  P(allow)  P(abstain)    真到达A_t
0-3         118       43.2%        35.6%     28.8%       14.4%      100%
3-4          52       32.7%        23.1%      3.8%        7.7%        0%
4-5         100       33.0%        32.0%     10.0%        1.0%        0%
5-8         271       21.8%        20.7%      5.5%        0.0%        0%
8-+         413       16.9%        16.9%      4.1%        0.0%        0%

=== Termination reliability (信念=verifier confidence, 真值=dist<3m) ===
conf_bin      N  avg_conf  emp_arrival
0.0-0.1      4     0.000        0.75
0.2-0.3    393     0.200        0.09
0.4-0.5    327     0.400        0.08
0.5-0.6     16     0.550        0.56
0.7-0.8      3     0.733        0.33
0.8-0.9     53     0.800        0.17
0.9-1.0    158     0.997        0.20

Termination ECE = 0.3236

=== 停止提交层面 (episode) ===
True stop(committed&<3m): 18  False stop(committed&>3m): 38  Missed(reachable&not committed): 8
